Video File,Transcription
tt0065225.mp4," When we're ready to sing, we step up the microphones and it comes out something like this. We came in the studios with Levi's and T-Cherts, smoking cigarettes. The older guys were saying they're going to wreck the music business. In the hardcore producing area, everybody knew what went on there. I mean, everybody knew that the best musicians played in all the sessions, but we as the general public didn't know. They played so well and they played so well together. I was in awe then because of Phil Spector. I pulled my car over the side of the road, said, what am I listening to here? The musicians were really the unsung heroes of all those hit records. When I listen to the record, it is so apparent that these guys were just really so good and you can see why everybody used them. The wrecking crew was the focal point of the music. They were the ones with all the spirit and all the know-how. We made up a lot of rands ourselves. We would either augment or totally replace a group. The public was oblivious that there was a secret star maker machinery. I had no idea that people didn't play their own records until the Monkeys came along. We were so busy. I was making more money than the president of the United States. Seven records of the year was unbelievable. Here's the way that the beat goes on sounded when we first heard it. The third line I came up with was, The beat goes on. They were the stone cold rock and roll professionals and there may never be a group of that caliber again. you"
tt0065874.mp4," He was hit by a truck and you're lying out in that gutter dying and you had time to sing one song One song that would let God know what you felt about your time here on earth One song that would sum you up That's the kind of song that truly saves people Hello, I'm Johnny Cash I've got to ask you how you came up with that sound. Steady like a train, sharp like a razor. We'd play faster if we could We're all going to hell for the song for a second. And what about me, Charlie? Am I going to hell? No, Jim, you're beautiful Bound by wild desire Johnny. Sorry, it just happened. You should try taking credit for something every once in a while. Come on, baby. Baby, baby, baby, baby Tell me you don't love me. I don't love you. You liar. Mr. Cash, why don't you refrain from performing any tunes that remind the inmates that they're in prison? You think they forgot? The Ring of Fire Who was with the black? Looks like you're going to a funeral. Maybe I am."
tt0066344.mp4," What do you want with me you will be haunted by three spirits I'd rather not I am the ghost of Christmas past Haunt me no longer What if you were given a second chance To get your life, right this holiday season the ghosts of Christmas past present and future Will give one man that chance This November Walt Disney Pictures Image movers digital Invite you to experience the classic tale like you've never seen it before in Disney digital 3d and IMAX 3d Disney 3D Disney's a Christmas Carol"
tt0072951.mp4," 150 miles outside of Las Vegas, there is a place where unexplained phenomena occur. It is known as Witch Mountain. Where to? We must travel in that direction. Latitude 40.5. We're just gonna stick with that direction. Those vehicles behind us are indicating a pattern of pursuit. I'm just gonna let them pass. Are you doing this? There's no way. Seth, no. My brother and I are not from your planet. Well, you don't look like aliens. What does an alien look like? You know what aliens look like? They're like little green people with antennas that take me to your leader, Earthlings. Oh. You're telling me you think those two kids were extraterrestrials searching for their missing spaceship? Oh, they can also do all this stuff too. Our spaceship is locked inside Witch Mountain. If we don't get there in time, the invasion will begin. Who is he? He's a bounty hunter. It's neat. Real neat. Don't worry, I'll get you to where you need to go. We appreciate your understanding. She talks to dogs. Of course she does. You are in way over your head. We got him. We have to hurry. Run, run, run! Whatever you're doing, keep doing it. I get claustrophobic in tight places. How are you with heights? Hang on! You do know how to fly this thing, right? How do you think we got here? Oh, you crashed, remember?"
tt0074991.mp4," You Have an appointment with us I'm just a temp you're a temp I Did some trading with the other temps and I wrangled your desk, I hope that's okay Always nice to have a pretty girl around the office in their boys. Yes, sir This Christmas party get pretty wild not usually that's no fun Hey don't stop stop stop Why don't you call me back today we had a temp but she didn't even number is she pretty pretty plain It is such a pleasure to meet you miss Charles hi You said she was playing that girl might be a lot of things, but she ain't playing. I wouldn't know I only have eyes for you A lot of these single girls see the workplace is their hunting ground and I think this one Has got you In her crosshairs I am a sweat and stain today having to pretend I almost went insane today having to pretend like I was concentrating on work when all I could think about Lisa There's nothing going on between us I'm sorry to disturb you. I was trying to reach Derek. It was a kind of incident. Is he all right? I think he should tell you himself Monica Reese, I'm the investigating detective what's happening to you? She tried to commit suicide naked in your bed. She was naked in your hotel room. I need to get the story in your husband's own words This ever happened sir. She made the whole thing up in her head Hi, I'm Sharon's friend Kate. I have this present for Kyle. You can't be sleeping. Oh, I don't wake him Somebody was inside the house. You better do something about this one. No, I will You need help. I know Help me Derek You said you wish we could be together. Don't worry. I'll get my revenge I knew it would come to this we didn't want you to find out this way. This woman is sick. I'm gonna call you back Show me crazy"
tt0075860.mp4," They're right by us, right now. That was really close. 31, do you wish to file a report of any kind of it? I wish I would kind of report to the file center. This is nuts. What do you want? I just want to know that it's really happening. I recently had a close encounter. A close encounter with something very unusual. Who are you people? I'm the man who killed the man. Boys! One, two, three. I can see in their shape. Damn it, I know this. I know what this is. This means something. What did you expect to find? An answer. "
tt0076245.mp4," Julia sorry, I'm a bit early the train you kidding me earlier the better come in, please Now the moment I saw you I couldn't stop thinking about you I There were four of them you never went to the police What those men to suffer I can help you To lower them we place little game Ducks Engines I She's physically taking our power back and wants you still Last week I should have stopped them anything is it's the best thing that could have ever happened to me Julie I'll do anything for you You will never stand by and watch every"
tt0077504.mp4," I'm the best we could ever plan. James Franco's having a giant party. Oh my god, if I don't fuck Michael Cera tonight, I'm going to blow my brains out. What's up, Brianna? What? Fucking pale, 110 pounds, hairless, probably has a huge cock. Don't fucking touch my bump, bitch. It's a weird face. So hot. Oh, what did you just fucking blow on me? Don't worry, it's just heroin. Are you shitting me? I was kidding, it's cocaine, but that's still very bad. What the fuck? Matt, come on, get in here! Oh god! What the fuck? Come on, get in the house! Greg! It's too late for you! You're already in the hole! Get the fuck out of my face! Ow, ow, ow! The Sheriff's Office is urging people to stay in their homes right now, because it's not the right time for a fight. The people in their homes are not going to be able to come out and get out of the house. They're not going to be able to come out. The Sheriff's Office is urging people to stay in their homes right now. Segal's dead, Krumm-Holst is dead, Sarah's dead. Isn't that bad? It's already going crazy out there, guys. I'm not leaving, okay? I'm a victim. When I was a kid, I had man titties, the bullies held me down, they kitty-fucked me. We're actors, we pretend to be hard, man. Yeah! We solve this baby shit! Helicopter, it's going to be fine! Oh, you okay? You okay? No, I'm not okay! Fuck your house, Franco! We should just stay in here, fortify this bitch, and take inventory of all the food and shit we have. We got 12 bottles of water, 56 beers, half ounce sour diesel, one ounce of shrooms, CT crunch, a Milky Way. Can I have that Milky Way? No, you can't have the Milky Way. It's my special food, I like it. I want some of the Milky Way. I'd be pretty bummed if I don't at least get a bite of the Milky Way. What the hell? Oh my God! Emma Watson showed up. Give me everything you have to drink! There are six of us, you cannot rob us! I'm not fucking around! Go get the drinks! Hermione just stole all of our shit. Please, you've got to let me in! Things have gone crazy out here! I'm sorry, we just don't know you, man. You could be like a looter or a rapist or a titty-fucker. I'm not a rapist! Are you going to titty-fuck us? If you want me to titty-fuck you, I will! So good! You'll love it! There's something out here!"
tt0078788.mp4, Oh. Ah. Prepare for the final chapter of the epic horror franchise. Oh! Rec 4. Apocalypse.
tt0079073.mp4," Here occurred the frightening and shocking history of Prince Dracula and the woman he loved. I have crossed oceans of time to find you. I am Dracula. There is a sinister dark side to him. I find irresistible. I have never met any man with such a passion for life. He is unlike any man. What are you? Vampires do exist. This one we fight, this one we face. He can take on many forms. He is both young and old. He can appear as mist, as vapor, as the fog. And he can vanish at will. My love. The power of his evil desire has no end. You've got to go to him. You've got to love him. She is a willing recruit and devoted disciple. She is the devil's concubine. Dracula! Join me in eternal life. Your salvation is destruction. I want to be what you are. I want to see what you see. I want to love what you love. Take me away from all this death. Make no mistake. He must be stopped."
tt0079540.mp4," It was a summer of discovery. Friendship Just the person I wanted to see. Women. Competition. And most of all, the summer that proved It just doesn't matter. Meatball Special Edition. The winner!"
tt0079714.mp4," I'm really scared about something that I did. I was messing around at the Morningside Cemetery and I saw something, something really scary. Fear is the killer. That's what Grandmother wants you to learn. Lay that sucker out flat and drive a steak right through his goddamn heart! You gotta be shitting me, man. That mother's strong. See, my lady left me lonely. Yes, she did. Baby left me blue."
tt0079758.mp4," The Secret of the Second Coming Mary. What? Can you keep a secret? The biggest secret ever. Centuries ago, a second coming was foretold. What did he say to you, Mary? He asked if I could keep a secret. What was that? Something he gave me. But what's coming He wants something. Something that's here. isn't what anyone expects. Oh, my God. It's a war in heaven. Of what? Us? Humans. You? I can't. Help her! Christopher Walken. The Prophecy."
tt0080745.mp4," I'm bored. What plaything can you offer me today? An obscure body in the SK system, your majesty. The inhabitants refer to it as the planet Earth. I like to play with things while before annihilation. Pathetic Earthlings! Who can save you now? Change object imaged in the imperial vortex. Remove the Earthwoman. Prepare her for our pleasure. I won't kill him yet, father. I want him. Go, Flash, go! Flash! Ah! King of the Impossible! He's for every one of us! Stand for every one of us! He's saved the body, hands and legs! Flash! Flash! Flash!"
tt0081455.mp4," I would like to scan all of you in this room, one at a time. I must remind you that the scanning experience is usually a painful one, sometimes resulting in nosebleeds, earaches, stomach cramps, nausea, sometimes other symptoms of a similar nature. At this point, I'd like to call for volunteers. Fine. Just sit right here, please. See you. Now, I'd like you to think of something specific. Do I have to close my eyes? It doesn't matter. All right, yes. I have something. Yes. The mind force. Scanners. Their thoughts can kill."
tt0081459.mp4," Ahhhhhhh! Sick with revenge, twisted with hate. Hello. Hello. Alice! You make me sick. No! No, no, no! Schizoid. Dear Julie, don't let me do it again."
tt0081748.mp4," Hidden deep within the snow-shrouded Rockies, a fearsome creature is now awake and hungry. He's got a grip, Thompson. He is gathering his awesome powers for one final assault upon an unsuspecting world. Ladies and gentlemen, meet Dr. Hunter S. Thompson, the legendary outlaw journalist. Give me some answers. If you dare. Great answers, huh? What? What? What do you want to know? Where am I? You're at the hotel, man. They broke the mold before he was born. Bill Murray is the outrageous, the infamous, the totally glorious Dr. Hunter S. Thompson. You know, I hate to advocate drugs or liquor, violence, insanity to anyone, but in my case, it's worked. Be proud, man. You're becoming a famous writer. The famous Dr. Gonzo. Here is where the Buffalo roam. Buffalo, I took you so long. It's about a nightmare here. As your attorney, I advise you to leave this room at once. You find him. He owes me a cover story and I want to get it. Homeboy to T1. Homeboy to T1. God damn it. Ghost riders, anarchist prophets. Fire, blood, revolution. Was he a gun collector? You got to write a story. I need your help. They got a struggle. You should be part of it. Come on! You left on Tuesday. Today's Saturday. That's weird. The same mix-up happened to me this morning. I thought it was Tuesday. Saturday. Everybody else is here. Abagas, poachers, hut! Deeper, deeper, deeper! You got to get down the hallway over there and throw a muzzle over that fruitcake. Scramble! Excellent. I've never liked it. It's incredible. If you have a taste for total destruction, behold the invincible Gonzo Warrior. Thompson, Thompson. This is a travesty of justice. As he takes on truth. For justice for bad craziness. Justice. You're off this campaign for good right now. Give me your credentials. Give them to me, Thompson, right now. And the American way. Write about it. Tell the world. Tell them the truth. In the land where the buffalo roam. Are you psychotic? You've done it to me again. Look, it's not your own good. You don't belong here."
tt0082276.mp4," Since the dawn of time, man has been plagued by the evil curse of the lusting vampires. The living dead have risen again. Don't go near the park. Keep out. This park is not for playing. The horrible truth will curdle your blood. They rise from the grave to wreck their ritualistic vengeance on the living. Zombies on a rampage of blood and terror. Don't go near the park. The gruesome reality more shocking than your most horrifying nightmares. There is no escape from the supernatural fiends that stalk your soul. Beware. You have been warned. Keep out. This park is not for playing. Don't go near the park. Coming soon. Rated R."
tt0082367.mp4," Every school has them. The punkers. The lovers. The clowns. Hey, look, everybody, I got a zero. And every school has its reject. You are 54 seconds late, kid. 50 sit-ups and 50 push-ups. The student nobody really knows. You know my boy. Know of him? The classmate with no real friends. Andrew, wanna get high, man? I don't need it. Who are you? The quiet kid everyone loves to hate. But until now, no school has ever felt his revenge. No, sir, knock him off. No, sir, knock him off. Fear no evil. Right. For years, he's waited for his moment. And now, it's upon us. For years, he's endured their cruelty. Give me a date tonight. Won't you please let me have a kiss? Now he's going to pay them back. One by one. By one. Fear no evil. I am an anti-cancer. The new wave of terror."
tt0082432.mp4,From a place you never heard of comes a story you'll never forget. Gallipoli.
tt0082766.mp4, We're ready for you miss Crawford to a truly great lady miss Joan Crawford You know it's missing in my life come on you've got everything you want no I don't I want a baby out of the question don't you dare judge me we have a moral and legal responsibility and what you're really doing is denying one of your children the opportunity to live a wonderful and advantaged life you're a lucky little girl and very expensive it cost me a lot of favor Christina darling I'm gonna make a perfect life for you are you having a happy birthday Christina darling this is the best party I ever had I love you mommy dearest I love you Tina darling you lost again it's not fair you're bigger than I am ah but nobody ever said life was fair to you I will always beat you then I'm not gonna play with you anymore ever I'll tell you what you're gonna do you're gonna march yourself upstairs to your room and we'll stay there no I won't yes you sorry mommy dearest you are not getting up from this table until you have finished that meat have I ever lied to you in your whole career or given you one piece of bad advice your treatment of me has been divine good I want you to leave metro my wonderful friends leave metro your pictures one after another are losing money theater owners voted you box office poison making fun of me mommy please mommy please stop stop mayors should know the price I pay truth is you're getting old you're nothing but a rotten crooked lawyer the biggest female star he's got look at this floor do you think it's clean you and me together what's wire hangers doing in this closet when I told you no wire hangers ever are 300 yes mommy dearest when I asked you to call me that and I wanted you to mean it Joan Crawford the most dramatic role of her life was her life Frank Gibbons presents Faye Dunaway as Joan Crawford in mommy dearest
tt0082910.mp4," Sleek, fierce, savage, deadly, the piranha. For centuries, nature's most ferocious killer. Until now. The new breed is here. Faster, more ferocious, and infinitely more deadly. Piranha 2. It's tremendous jaw pressure. It's sheer to cling me through bone in places. It's here. It's alive, and it's multiplying. We spliced in genes from different species to create the ultimate killer organism. It lives in the depths of the sea, but it can strike anywhere. Loretta! Loretta, what happened? Loretta! No! Loretta! A super breed of killer fish that can swim, fly, and attack at any time. They bred the ultimate killing machine. Now, you're not safe out of the water. Piranha 2. Flying killers."
tt0083131.mp4," I can't believe we're doing this. If I get killed, my blood is on your hands. Just don't get it on my shoes, okay? The funniest military spoof of all time is available for the first time. That's the fact! Digitally remastered with 5.1 Dolby Sound. Where's your drill, Sergeant, man? Moon hop, sir! Stripes the extended cup. You're a lean man to style machines! Featuring six deleted scenes added back into the movie by director Ivan Reitman. Well, that was interesting. Including a never-before-seen 10-minute sequence, an all-new making-of documentary, and cast interviews including Bill Murray. The scene that defined Stripes for Me was the introductory scene. You guys call me Francis and I'll kill you. Lighten up, Francis. Starring Academy Award nominee Bill Murray. You've never had anybody give you the ancient minor treatment. Harold Ramis. Want to play spin the bottle? Warren Oates. Those num-nuts can't even tie their own shoelaces. P.J. Zolls. John Candy. I hope this is the mess hall. How's it going, Eisenhower? Judge Reinhold and John Laroquette. Oh, God, I wish I was a loofah. Deal, man! So fall in line. Boom! Shag-a-lag-a-lag-a-boom! And get with the program. An army without leaders is like a foot without a big toe. We owe a big round of applause to our newest, bestest buddy and big toe, Sergeant Hulka. On Stripes. Razzle, razzle! The Extended Cut, coming soon to DVD. No questions, please. We just want to get back to our hotel rooms and have some really serious sex."
tt0083619.mp4," Some legends are born... You haven't got enough in your britches to pull the trigger on Barbara, Rosa. Some are made... Never meant to kill Augusta. And some... Damn it, stop that. Are made for each other. Why don't you take turns on this jackass? Their relationship was based on understanding. Damn. Oh, time to go. And they were born to be friends. And they were born to be friends. Oh, time to go. We won't have to rob you. Get your money out. Patience. Shoot him, Carl, if you want to. We got time. Forgiveness. I had no idea she was your daughter. All we did was just talk. And the feeling that no matter where they went... Well, good morning to you, sir. Plan to kill me today? They would always be wanted. Kill him. Papa wants you dead. You're on my road, amigos. You know who I am? I know who you are. We may be in trouble. Universal Pictures presents... What's the matter with me? Ain't I been good company? Willie Nelson. I ain't gonna lie to you, you know. I'm getting the whole war out trying to keep you entertained. Barbara Rosa. Two friends... Careful, you're kicking rocks all over me. and the legend... You missed him. that was bigger than both of them. What the hell are you doing? You've already been down there."
tt0084787.mp4," You might want to wrap it up in a couple of days. Yeah, why is that? the last place you want to be is cooped up with a dozen Norwegian guys. We estimate this being here 100,000 years. It's not possible. This thing attacks its prey. Copies it perfectly and then hides inside it. not all of us are human."
tt0084827.mp4," I promise you that if I ever got any information about your dad, I'd tell you first, right? I was paged last night. Came from your dad's office at the arcade. So? So? The number's been disconnected for 20 years. Two nights before he disappeared, he came to my house. He said he was about to change everything. Science, medicine, religion. He wouldn't have left that, Sam. He wouldn't have left you. Alan, you're acting like I'm gonna find him sitting there working. Just, hey kiddo, lost track of time. Might be something. Dad? Sam? Long time. You have no idea."
tt0086216.mp4," Thank you for watching. Rusty James. If Wilcox looking for you, Rusty James. No, I... He says he's gonna kill you, Rusty James. Man, me and you, we could've run this whole side of town if you just gave me a chance. You know, if you're gonna lead people, you have to have somewhere to go. I wonder why somebody hasn't taken a rifle. I'm blowing your head off. The Motorcycle Boy. You always try so hard to be like your brother, Rusty James. Hey, my brother's the coolest. Why do you dislike me so much? I mean, I've always tried to be your friend. You know, you might've made it a while on the Motorcycle Boy's rep, but you ain't got your brother's brains. Neither country departs. I'm not here to believe that you're going crazy. I'm not here to believe that you're going crazy. If you're saying you're the only guy telling people what to do until you're happy, then I'm not here to believe you. It's what me and you have to do to convince them. You can't do that to yourself. You better know you're acting wrong. If me and you, we could call for help, and we could turn assist into some labor, then we could let Mr. cockroach. you become a toutes-a-side ."
tt0086637.mp4," The fresh stories roll off the press every day about manifestation is neurological. The doctors claim to have a situation in hand. Suffering from no to agree on a surprise. I'm convinced that it's gladiator and nature and all over. There's no evidence. Next thing you got to do is further tests will show a problem. I'm certain that something he picked up from eating Mexican food. We're just beginning to realize the dimensions of what could be the scientific medical phenomenon of the age and possibly of all time. I'm 12 years old. I run into a synagogue. I asked the rabbi the meaning of life. He tells me the meaning of life. But he tells it to me in Hebrew. I don't understand. Then he wants to charge me $600 for Hebrew lessons. He was the phenomenon of the 20s. The story reflected the nature of our civilization. All the themes of our culture were there. But when you look back on it, it was it was very strange. Ladies and gentlemen gather around. Come one come all to see Woody Allen's brand new documentary about the one the only the amazing chameleon man. Watch as the amazing chameleon man changes his form and personality to fit in with those around him. Well, it is ironic to see how quickly he has faded from memory considering what an astounding record he made. He was of course very amusing, but at the same time touched a nerve in people perhaps in a way which they would prefer not to be touched. It certainly is a very bizarre story. Woody Allen's Zellie coming to a theater near you. What am I suffering from should I know I'm not a doctor, you know, am I?"
tt0086837.mp4," Don't make any sudden moves. Don't talk about satellites. Seriously? Why would I be trying to kill you? Because the last time we met, I tried to kill you. That was a long time ago. Some people hold on to things like that. They used to be the CIA's top agents. Victoria, best wet work asset in the business. What? What's that? I kill people, dear. But the secrets they know... This is off the books, total blackout. ...just made them the agency's top targets. Tell me everything you know. Some thumb sucker tagged him red. Red? Retired, extremely dangerous. Yeah, hey, don't make them like that anymore. We're going to break into the CIA and find out who's trying to kill us. We're getting the band back together. I put a few things away. Just in case. I am excited. What do you suppose the punishment is? For what we're doing here. Death. Awesome. I thought it might be nice to have a bit of girl time together. You can't touch me. Of course we can. That's right, old man. Old man? No respect. Old man my ass."
tt0087277.mp4, He's the new kid in town and the music's on his side. Paramount pictures presents. Footloose. 
tt0087469.mp4," If adventure has a name, it must be Indiana Jones. From Steven Spielberg and George Lucas, Indiana Jones, and the Temple of Doom. You, you don't believe me. You will, Dr. Jones."
tt0087998.mp4," What was that? First there was the invasion of the body snatchers. Then there was alien. Now comes the return of the aliens. The deadly spawn. It began with a meteor crashing to earth. No one knew the mystery of the mutant spores it contained. Now they are free. They will grow and reproduce rapidly, eating anything and anyone in their path. The return of the aliens. The deadly spawn. What do you do when unknown terror surrounds you? What do you do when there is no escape? Nowhere to hide from being eaten alive. They just keep multiplying like demon seed. Extra terrestrial terror. They are full of surprises. The best is yet to come. Can anything stop these strange creatures? The movie real science fiction fans have been waiting for. The return of the aliens. The deadly spawn. I want you to see them at this theater soon. I need every person they can."
